广东茂名,#genre#
河源公共576,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=heyuanertao_1500
河源综合,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=heyuanzongheHD
紫金台,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=zijintai
化州综合360,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=huazhoutai
信宜,http://www.biaozhun114.com/dl/dl666/gy.php?key=豆豆&id=xinyigaoqing
深圳都市,http://livepull-tcyzb.sztv.com.cn/showto_live/dushi01.m3u8
明珠台,https://pi.0472.org/tv/mzt.php?auth=2310201855
高清翡翠,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
广东卫视,http://183.11.239.32:808/hls/80/index.m3u8
深圳卫视,http://183.11.239.32:808/hls/45/index.m3u8
广东大湾区卫视,http://183.11.239.32:808/hls/132/index.m3u8
广东新闻,http://183.11.239.32:808/hls/5/index.m3u8
广东影视,http://183.11.239.32:808/hls/6/index.m3u8
广东综艺(4k),http://183.11.239.32:808/hls/9/index.m3u8
广东体育,http://183.11.239.32:808/hls/2/index.m3u8
深圳都市,http://183.11.239.32:808/hls/140/index.m3u8
深圳电视剧频道,http://183.11.239.32:808/hls/141/index.m3u8
深圳财经生活,http://183.11.239.32:808/hls/151/index.m3u8
深圳娱乐频道,http://183.11.239.32:808/hls/155/index.m3u8
深圳公共,http://183.11.239.32:808/hls/156/index.m3u8
深圳少儿,http://183.11.239.32:808/hls/157/index.m3u8
广东卫视,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1182
大湾区卫视,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1197
广东新闻,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1186
广东4K超高清,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1198
广东民生,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1185
广东体育,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1184
广东影视,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1199
嘉佳卡通,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1187
大湾区卫视(海外版),http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1191
广东经济科教,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1196
广东少儿,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=1200
广东移动,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=2463
信宜综合,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=2471
化州综合,http://www.biaozhun114.com/dl/dl666/cd.php?key=触电&pk=2440


📡阳泉有线,#genre#
广东珠江,http://183.11.239.32:808/hls/83/index.m3u8
广东珠江-2,http://218.15.121.130:9901/tsfile/live/1000_1.m3u8
广东珠江,http://zteres.sn.chinamobile.com:6060/000000001000/2000000003000000033/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=3
广东珠江,http://zteres.sn.chinamobile.com:6060/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3
广东珠江,http://r.jdshipin.com/sE5vO
广东珠江-1,http://113.105.111.79:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江-1http://183.11.239.32:808/hls/83/index.m3u8
广东珠江-2,http://218.15.121.130:9901/tsfile/live/1000_1.m3u8
香港翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8
化州综合,https://skype.serv00.net/itouch.php?id=hzzh
化州综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2440
广东卫视,https://iptv.luas.edu.cn/liverespath/57e80ee85ec1f4e523e1bca55f5a676abd292db8/0ff9a42344-0-0-0eb4f8fe53cdbc02d1db696ecc425752/index.m3u8
广东卫视,http://58.19.38.233:8888/newlive/live/hls/21/live.m3u8
广东珠江,http://183.11.239.32:808/hls/83/index.m3u8
TVB星河,http://r.jdshipin.com/sXuuD
本港台,http://113.117.74.12:8081/hls/135/index.m3u8
揭西台,http://113.117.74.12:8081/hls/19/index.m3u8
凤凰资讯高清,http://113.117.74.12:8081/hls/36/index.m3u8
凤凰卫视高清,http://113.117.74.12:8081/hls/37/index.m3u8
凤凰香港高清,http://113.117.74.12:8081/hls/38/index.m3u8
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
香港卫视.576,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
TVB翡翠,https://epg.pw/stream/b1bedc34e0cd84c712106b10fa7bd2055a46898678c37e35aebe43290c2c8a1f.m3u8
鳳凰香港,https://epg.pw/stream/8aa4301596dada4db1a6c94086183a8b733c3ade2254e0bbf1130a576faac531.m3u8
鳳凰香港,https://epg.pw/stream/c2a8e1f13686db762d92ef378d737641e1d05183654494d649fe51870a0a6f48.m3u8
鳳凰香港,https://epg.pw/stream/8352ad260441ed0064f63f7a25eb3a7268a68b391f08a345b9bdbefd51aa330f.m3u8
鳳凰香港,https://epg.pw/stream/b22976296a71b1a2a7fd440ea009e5501378f1e8193bcc7edaa6ad5a31a3e5e6.m3u8
鳳凰香港,https://epg.pw/stream/e88363a4ce6a2aa625ab98e3d840c778baec8405e1adb31a1a94f5d6518982ef.m3u8
鳳凰香港,https://epg.pw/stream/8770e89223a086eb1b8a0c931e42296d772a8069ad3eb72540e0c434e7cb3e93.m3u8
鳳凰香港[geo-blocked],https://epg.pw/stream/d004872b834b5b726d43c1dc539903068b7a75321cd8528ae65fc02dda2a7c89.m3u8
星河台,http://198.16.100.90:8278/tvbxinhe_twn/playlist.m3u8?tid=ME2E4984839049848390&ct=19249&tsum=690b607d57418e55ba5fdd7814412e81
深圳都市,http://livepull-tcyzb.sztv.com.cn/showto_live/dushi01.m3u8
明珠台,https://pi.0472.org/tv/mzt.php?auth=2310201855
高清翡翠,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
广东卫视,http://183.11.239.32:808/hls/80/index.m3u8
深圳卫视,http://183.11.239.32:808/hls/45/index.m3u8
广东大湾区卫视,http://183.11.239.32:808/hls/132/index.m3u8
广东新闻,http://183.11.239.32:808/hls/5/index.m3u8
广东影视,http://183.11.239.32:808/hls/6/index.m3u8
广东综艺(4k),http://183.11.239.32:808/hls/9/index.m3u8
广东体育,http://183.11.239.32:808/hls/2/index.m3u8
深圳都市,http://183.11.239.32:808/hls/140/index.m3u8
深圳电视剧频道,http://183.11.239.32:808/hls/141/index.m3u8
深圳财经生活,http://183.11.239.32:808/hls/151/index.m3u8
深圳娱乐频道,http://183.11.239.32:808/hls/155/index.m3u8
深圳公共,http://183.11.239.32:808/hls/156/index.m3u8
深圳少儿,http://183.11.239.32:808/hls/157/index.m3u8
怀旧剧场,http://183.11.239.32:808/hls/92/index.m3u8
风云剧场,http://183.11.239.32:808/hls/95/index.m3u8
📡央视,#genre#
CCTV-1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1,http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8
CCTV-5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-6,http://222.71.90.218:8888/newlive/live/hls/7/live.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8
CCTV-8,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-10,http://222.71.90.218:8888/newlive/live/hls/11/live.m3u8
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14,http://222.71.90.218:8888/newlive/live/hls/15/live.m3u8
CCTV-15,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
📡卫视,#genre#
湖南卫视,http://111.20.35.103:6610/000000001000/1000000001000009115/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009115&livemode=1&stbId=00
浙江卫视,http://111.20.35.103:6610/000000001000/1000000001000009806/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=00
江苏卫视,http://111.20.35.103:6610/000000001000/1000000001000001828/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001828&livemode=1&stbId=00
广东卫视,http://111.20.35.103:6610/000000001000/1000000001000014176/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=00
深圳卫视,http://111.20.35.103:6610/000000001000/1000000001000009227/index.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=00
北京卫视,http://111.20.35.103:6610/000000001000/1000000001000017156/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017156&livemode=1&stbId=00
天津卫视,http://111.20.35.103:6610/000000001000/1000000001000000831/index.m3u8?channel-id=ystenlive&Contentid=1000000001000000831&livemode=1&stbId=00
东方卫视,http://111.20.35.103:6610/000000001000/1000000001000005866/index.m3u8?channel-id=ystenlive&Contentid=1000000001000005866&livemode=1&stbId=00
山东卫视,http://111.20.35.103:6610/000000001000/1000000001000012807/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=00
湖北卫视,http://111.20.35.103:6610/000000001000/1000000001000010355/index.m3u8?channel-id=ystenlive&Contentid=1000000001000010355&livemode=1&stbId=00
四川卫视,http://111.20.35.103:6610/000000001000/1000000002000016825/index.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=00
重庆卫视,http://111.20.35.103:6610/000000001000/1000000002000018937/index.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=00
安徽卫视,http://111.20.35.103:6610/000000001000/1000000001000020780/index.m3u8?channel-id=ystenlive&Contentid=1000000001000020780&livemode=1&stbId=00
黑龙江卫视,http://111.20.35.103:6610/000000001000/1000000001000001925/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=00
河北卫视,http://111.20.35.103:6610/000000001000/1000000002000017118/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017118&livemode=1&stbId=00
河南卫视,http://111.20.35.103:6610/000000001000/7304224304099543804/index.m3u8?channel-id=ystenlive&Contentid=7304224304099543804&livemode=1&stbId=00
东南卫视,http://111.20.35.103:6610/000000001000/1000000002000009263/index.m3u8?channel-id=ystenlive&Contentid=1000000002000009263&livemode=1&stbId=00
辽宁卫视,http://111.20.35.103:6610/000000001000/1000000002000024033/index.m3u8?channel-id=ystenlive&Contentid=1000000002000024033&livemode=1&stbId=00
江西卫视,http://111.20.35.103:6610/000000001000/1000000001000013731/index.m3u8?channel-id=ystenlive&Contentid=1000000001000013731&livemode=1&stbId=00
广西卫视,http://111.20.35.103:6610/000000001000/1000000002000019837/index.m3u8?channel-id=ystenlive&Contentid=1000000002000019837&livemode=1&stbId=00
山西卫视,http://111.20.35.103:6610/000000001000/1000000002000021220/index.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=00
陕西卫视,http://111.20.35.103:6610/000000001000/1000000002000007495/index.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=00
海南卫视,http://111.20.35.103:6610/000000001000/7899627377857656087/index.m3u8?channel-id=ystenlive&Contentid=7899627377857656087&livemode=1&stbId=00
云南卫视,http://111.20.35.103:6610/000000001000/1000000002000024694/index.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=00
吉林卫视,http://111.20.35.103:6610/000000001000/6042486520432105075/index.m3u8?channel-id=ystenlive&Contentid=6042486520432105075&livemode=1&stbId=00
贵州卫视,http://111.20.35.103:6610/000000001000/1000000002000003169/index.m3u8?channel-id=ystenlive&Contentid=1000000002000003169&livemode=1&stbId=00
大湾区卫视,http://111.20.35.103:6610/000000001000/1000000002000011619/index.m3u8?channel-id=ystenlive&Contentid=1000000002000011619&livemode=1&stbId=00
青海卫视,http://111.20.35.103:6610/000000001000/1000000002000013359/index.m3u8?channel-id=ystenlive&Contentid=1000000002000013359&livemode=1&stbId=00
内蒙古卫视,http://111.20.35.103:6610/000000001000/5559214655508729688/index.m3u8?channel-id=ystenlive&Contentid=5559214655508729688&livemode=1&stbId=00
宁夏卫视,http://111.20.35.103:6610/000000001000/7527747602951312973/index.m3u8?channel-id=ystenlive&Contentid=7527747602951312973&livemode=1&stbId=00
甘肃卫视,http://111.20.35.103:6610/000000001000/1000000002000017827/index.m3u8?channel-id=ystenlive&Contentid=1000000002000017827&livemode=1&stbId=00
新疆卫视,http://111.20.35.103:6610/000000001000/5802765535081445534/index.m3u8?channel-id=ystenlive&Contentid=5802765535081445534&livemode=1&stbId=00
西藏卫视,http://111.20.35.103:6610/000000001000/6603041244077933770/index.m3u8?channel-id=ystenlive&Contentid=6603041244077933770&livemode=1&stbId=00
山东教育卫视,http://111.20.35.103:6610/000000001000/1000000002000004097/index.m3u8?channel-id=ystenlive&Contentid=1000000002000004097&livemode=1&stbId=00
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225799/index.m3u8
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南金鹰纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226351/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225800/index.m3u8
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225798/index.m3u8
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225797/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226210/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225801/index.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226206/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
北京卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8?
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
黑龙江卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8?
山西卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8?
海南卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8?
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
大湾区卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/tv/nxws.m3u8
西藏卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8?
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-28bc40431485/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
农林卫视,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8?
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
北京纪实科教8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
📡广东,#genre#
广东｜珠江,http://zteres.sn.chinamobile.com:6060/000000001000/2000000003000000033/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=3
广东｜珠江,http://zteres.sn.chinamobile.com:6060/000000001000/1000000004000011655/1.m3u8?channel-id=ystenlive&Contentid=1000000004000011655&livemode=1&stbId=3
广东｜深圳都市,http://livepull-tcyzb.sztv.com.cn/showto_live/dushi01.m3u8
广东｜GRTN文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8
广东｜GRTN文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1612881417-0-0-bc7ddba066481bc805fc1e800654e721
广东｜GRTN文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8?
深圳卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000011645/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011645&livemode=1&stbId=3
深圳卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265028/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265028&livemode=1&stbId=3
深圳卫视,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000002116/1.m3u8?channel-id=wasusyt&Contentid=6000000001000002116&livemode=1&stbId=3
深圳卫视,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000009227/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=3
深圳公共,http://gmxw.7766.org:808/hls/156/index.m3u8
深圳都市,http://gmxw.7766.org:808/hls/140/index.m3u8
深圳电视剧,http://113.117.74.28:8081/hls/69/index.m3u8
深圳电视剧,http://gxdl-lhs.8866.org:85/tsfile/live/1113_1.m3u8?key=txiptv&playlive=1&authid=0
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8
深圳龙岗,https://lglivepull.sznews.com/live/2647.m3u8
深圳众创,https://lglivepull.sznews.com/live/2645.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
平远综合,http://p2.vzan.com/slowlive/738135449685137104/live.m3u8
GRTN健康频道,http://glive.grtn.cn/live/health.m3u8
GRTN文化频道,http://glive.grtn.cn/live/wenhua_test0203.m3u8
GRTN生活频道,http://glive.grtn.cn/live/life.m3u8
GRTN纪录片,http://glive.grtn.cn/live/jilupian.m3u8
荔枝台,http://glive.grtn.cn/live/lizhi.m3u8
深圳都市,http://livepull-tcyzb.sztv.com.cn/live/dushi01.m3u8

📡深圳IP,#genre#
CCTV-1综合,http://183.11.239.36:808/hls/19/index.m3u8

CCTV-2财经,http://183.11.239.36:808/hls/20/index.m3u8

CCTV-3高清测试,http://183.11.239.36:808/hls/91/index.m3u8

CCTV-4中文国际,http://183.11.239.36:808/hls/22/index.m3u8

CCTV-5高清测试,http://183.11.239.36:808/hls/93/index.m3u8

CCTV-6高清测试,http://183.11.239.36:808/hls/94/index.m3u8

CCTV-7国防军事,http://183.11.239.36:808/hls/25/index.m3u8

CCTV-8,http://183.11.239.36:808/hls/96/index.m3u8

CCTV-9纪录,http://183.11.239.36:808/hls/27/index.m3u8

CCTV-10科教,http://183.11.239.36:808/hls/28/index.m3u8

CCTV-11戏曲,http://183.11.239.36:808/hls/29/index.m3u8

CCTV-12社会与法,http://183.11.239.36:808/hls/30/index.m3u8

“CCTV-13新闻,http://183.11.239.36:808/hls/31/index.m3u8

CCTV-14少儿,http://183.11.239.36:808/hls/32/index.m3u8

CCTV-15高清,http://183.11.239.36:808/hls/102/index.m3u8

CCTV-16奥林匹克,http://183.11.239.36:808/hls/169/index.m3u8

CCTV-17农业,http://183.11.239.36:808/hls/35/index.m3u8

金鹰卡通,http://183.11.239.36:808/hls/69/index.m3u8

广东移动,http://183.11.239.36:808/hls/14/index.m3u8

CETV-1,http://183.11.239.36:808/hls/122/index.m3u8

广东大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8

广东新闻,http://183.11.239.36:808/hls/5/index.m3u8

风云足球,http://183.11.239.36:808/hls/133/index.m3u8

岭南戏曲,http://183.11.239.36:808/hls/16/index.m3u8

经济科教,http://183.11.239.36:808/hls/4/index.m3u8

内蒙古卫视,http://183.11.239.36:808/hls/60/index.m3u8

广东影视,http://183.11.239.36:808/hls/6/index.m3u8

甘肃卫视,http://183.11.239.36:808/hls/119/index.m3u8

广东少儿,http://183.11.239.36:808/hls/175/index.m3u8

广东综艺(4k),http://183.11.239.36:808/hls/9/index.m3u8

湖南卫视,http://183.11.239.36:808/hls/36/index.m3u8

